No,AA,C#,Mw,HLB,EO,Conc,pH,IE,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
254.0,99.5,0.0,3300.0,4.5,8.0,0.1,4.9,88.47,,,,,,,,,,,,,,,
255.0,99.5,0.0,1100.0,4.0,8.0,0.1,4.9,45.24,,,,,,,,,,,,,,,
256.0,99.5,0.0,1900.0,21.5,20.0,0.1,4.9,32.59,,,,,,,,,,,,,,,
257.0,99.5,0.0,8400.0,24.0,164.0,0.1,4.9,-16.67,,,,,,,,,,,,,,,
258.0,99.5,0.0,14600.0,24.0,272.0,0.1,4.9,-51.66,,,,,,,,,,,,,,,
259.0,99.5,0.0,12600.0,21.5,190.0,0.1,4.9,54.75,,,,,,,,,,,,,,,
260.0,50.0,0.0,62.0,8.3,1.0,0.1,4.9,,,,,,,,,,,,,,,,
261.0,64.0,8.0,625.0,13.5,9.5,0.1,4.9,66.84,,,,,,,,,,,,,,,
262.0,70.0,12.0,1228.0,16.7,20.0,0.1,4.9,95.39,,,,,,,,,,,,,,,
263.0,50.0,18.0,1310.0,15.0,20.0,0.1,4.9,72.63,,,,,,,,,,,,,,,
264.0,99.0,9.0,346.0,8.6,0.0,0.1,4.9,22.44,,,,,,,,,,,,,,,
265.0,100.0,17.0,428.0,4.3,0.0,0.1,4.9,29.49,,,,,,,,,,,,,,,
266.0,100.0,13.0,,,,0.1,4.9,,,,,,,,,,,,,,,,
